model,group,seed,time_s,knn_acc_10,global_spearman,triplet_acc
ref_smooth,reference,42,24.1,0.87918,0.4502132929689023,0.65572
ref_standard,reference,42,24.3,0.8969799999999999,0.41312687877536647,0.63992
ref_sharp,reference,42,25.4,0.8932399999999999,0.32413605916572974,0.6178
ramp_g0.5-2_s2,ramp,42,26.6,0.88092,0.430376335882694,0.651
ramp_g0.5-2_s3,ramp,42,26.3,0.8815799999999999,0.4307505777015342,0.65128
ramp_g0.5-2_s4,ramp,42,26.8,0.88626,0.426860987217984,0.64828
ramp_g0.5-2_s5,ramp,42,24.9,0.8816599999999999,0.43278021468606453,0.65028
ramp_g0.25-2.5_s2,ramp,42,24.8,0.8641,0.43276759109402646,0.65256
ramp_g0.25-2.5_s3,ramp,42,26.7,0.8714,0.43265083992455194,0.64944
ramp_g0.25-2.5_s4,ramp,42,25.2,0.8782399999999999,0.43089497333356136,0.64944
ramp_g0.25-2.5_s5,ramp,42,25.2,0.8763,0.43330309481502743,0.6518
ramp_g0-3_s2,ramp,42,27.0,0.85564,0.41752537408691515,0.65236
ramp_g0-3_s3,ramp,42,26.6,0.8592200000000001,0.3983288701902513,0.6416
ramp_g0-3_s4,ramp,42,25.2,0.8681599999999998,0.3986409570455037,0.63852
ramp_g0-3_s5,ramp,42,27.3,0.8655200000000001,0.389865910099608,0.63796
dur_3s_frontheavy,duration,42,24.7,0.8786200000000001,0.44748186437030135,0.65356
dur_3s_equal,duration,42,25.3,0.87782,0.4364876831120037,0.65196
dur_3s_backheavy,duration,42,25.1,0.8811800000000001,0.42659289476502693,0.64708
dur_3s_localheavy,duration,42,25.0,0.88084,0.4234027265318946,0.6464
fine_g0-3_s8,fine,42,27.3,0.85908,0.3722902286397257,0.63028
fine_g0-3_s12,fine,42,28.0,0.8517800000000001,0.39834167874880483,0.64144
fine_g0.5-2.5_s8,fine,42,27.3,0.8762,0.4309856449367276,0.65096
fine_g0.5-2.5_s12,fine,42,26.7,0.8746200000000001,0.40766009364890193,0.64648
