model,group,seed,k,no,trust
ref_smooth,reference,42,1,0.2416,0.9886313097620636
ref_smooth,reference,42,2,0.3047,0.986338895377941
ref_smooth,reference,42,3,0.3317333333333333,0.9848626228900018
ref_smooth,reference,42,4,0.35225,0.9832895996882134
ref_smooth,reference,42,5,0.36988,0.9820239973262032
ref_smooth,reference,42,6,0.38226666666666664,0.9807156551301344
ref_smooth,reference,42,7,0.3912857142857143,0.9799480635345473
ref_smooth,reference,42,8,0.397575,0.9793049511854951
ref_smooth,reference,42,9,0.4042222222222222,0.978412790553447
ref_smooth,reference,42,10,0.41036,0.9774136371251466
ref_smooth,reference,42,11,0.41554545454545455,0.9768964333241906
ref_smooth,reference,42,12,0.4195833333333333,0.9760761175396426
ref_smooth,reference,42,13,0.42346153846153844,0.9752228360006884
ref_smooth,reference,42,14,0.42682857142857145,0.9744649911668545
ref_smooth,reference,42,15,0.4308266666666667,0.9737997312730937
ref_smooth,reference,42,16,0.4347375,0.9730734960510838
ref_smooth,reference,42,17,0.438,0.9724046903226657
ref_smooth,reference,42,18,0.44133333333333336,0.9718048282092017
ref_smooth,reference,42,19,0.4438,0.9711360579165855
ref_smooth,reference,42,20,0.4467,0.9704932929224898
ref_smooth,reference,42,21,0.44957142857142857,0.9699125700594703
ref_smooth,reference,42,22,0.4519,0.9693782439258589
ref_smooth,reference,42,23,0.45433913043478263,0.9688115453234597
ref_smooth,reference,42,24,0.45666666666666667,0.9683779502465178
ref_smooth,reference,42,25,0.458976,0.9679569255007877
ref_smooth,reference,42,26,0.46143076923076926,0.9674398901779412
ref_smooth,reference,42,27,0.4633333333333333,0.9668747491436462
ref_smooth,reference,42,28,0.46495,0.9663894054663286
ref_smooth,reference,42,29,0.4664,0.9659055845893021
ref_smooth,reference,42,30,0.46782,0.965283646415073
ref_smooth,reference,42,31,0.4697741935483871,0.964660571170561
ref_smooth,reference,42,32,0.47133125,0.964127865774465
ref_smooth,reference,42,33,0.47252727272727274,0.9636267454203047
ref_smooth,reference,42,34,0.47441176470588237,0.9631625552374588
ref_smooth,reference,42,35,0.47601714285714286,0.9627313264498198
ref_smooth,reference,42,36,0.4771,0.9622741847262302
ref_smooth,reference,42,37,0.47885405405405407,0.9617903171513905
ref_smooth,reference,42,38,0.48022105263157894,0.9613027232482225
ref_smooth,reference,42,39,0.48185641025641024,0.9608601382749632
ref_smooth,reference,42,40,0.48342,0.9604158275216874
ref_smooth,reference,42,41,0.4846146341463415,0.9599778982439245
ref_smooth,reference,42,42,0.48563809523809526,0.9594862823953578
ref_smooth,reference,42,43,0.4867255813953488,0.9588850600213937
ref_smooth,reference,42,44,0.4879727272727273,0.9583910469962967
ref_smooth,reference,42,45,0.48936,0.9579324389874185
ref_smooth,reference,42,46,0.49022608695652176,0.9574554918411806
ref_smooth,reference,42,47,0.4911063829787234,0.9569700597352472
ref_smooth,reference,42,48,0.49223333333333336,0.9564759868108929
ref_smooth,reference,42,49,0.4933469387755102,0.9560225935897257
ref_smooth,reference,42,50,0.494648,0.9555523382914458
ref_smooth,reference,42,51,0.49571764705882354,0.9550898843743222
ref_smooth,reference,42,52,0.49651153846153845,0.9546598735282631
ref_smooth,reference,42,53,0.4972566037735849,0.954192034978892
ref_smooth,reference,42,54,0.49824814814814816,0.9536781472809683
ref_smooth,reference,42,55,0.49951636363636365,0.9531870809569816
