model,group,k,no_mean,no_std,trust_mean,trust_std
dur_3s_backheavy,duration,68,0.43873529411764706,0.0,0.9140974335549578,0.0
dur_3s_backheavy,duration,69,0.4394144927536232,0.0,0.9134362789254544,0.0
dur_3s_backheavy,duration,70,0.44008,0.0,0.9127539849797235,0.0
dur_3s_backheavy,duration,71,0.4403915492957746,0.0,0.9122148297087515,0.0
dur_3s_backheavy,duration,72,0.44104166666666667,0.0,0.9116047338623423,0.0
dur_3s_backheavy,duration,73,0.44140547945205477,0.0,0.9109562734038015,0.0
dur_3s_backheavy,duration,74,0.44204054054054054,0.0,0.9103222284080861,0.0
dur_3s_backheavy,duration,75,0.44261066666666665,0.0,0.9096593834430204,0.0
dur_3s_backheavy,duration,76,0.44309736842105263,0.0,0.9090557719024646,0.0
dur_3s_backheavy,duration,77,0.44356103896103893,0.0,0.9085457187287977,0.0
dur_3s_backheavy,duration,78,0.4439692307692308,0.0,0.9079313318655903,0.0
dur_3s_backheavy,duration,79,0.4444886075949367,0.0,0.9073334812543113,0.0
dur_3s_backheavy,duration,80,0.4450375,0.0,0.9067919879029924,0.0
dur_3s_backheavy,duration,81,0.44551851851851854,0.0,0.9060743857903151,0.0
dur_3s_backheavy,duration,82,0.44585853658536584,0.0,0.905470637447553,0.0
dur_3s_backheavy,duration,83,0.44626506024096385,0.0,0.9049403974157499,0.0
dur_3s_backheavy,duration,84,0.4465857142857143,0.0,0.9043569826631424,0.0
dur_3s_backheavy,duration,85,0.44688470588235296,0.0,0.9037745821727019,0.0
dur_3s_backheavy,duration,86,0.44716046511627905,0.0,0.9032219949256606,0.0
dur_3s_backheavy,duration,87,0.44742298850574713,0.0,0.9027281162486027,0.0
dur_3s_backheavy,duration,88,0.44791136363636364,0.0,0.9021279120762992,0.0
dur_3s_backheavy,duration,89,0.4483505617977528,0.0,0.9015852157935867,0.0
dur_3s_backheavy,duration,90,0.44883555555555554,0.0,0.9009868776788659,0.0
dur_3s_backheavy,duration,91,0.44927912087912086,0.0,0.9003857604730815,0.0
dur_3s_backheavy,duration,92,0.4496173913043478,0.0,0.8998890328119183,0.0
dur_3s_backheavy,duration,93,0.4500795698924731,0.0,0.8993954796099958,0.0
dur_3s_backheavy,duration,94,0.4505297872340426,0.0,0.8989036691614036,0.0
dur_3s_backheavy,duration,95,0.45097473684210526,0.0,0.8983927466548766,0.0
dur_3s_backheavy,duration,96,0.4513666666666667,0.0,0.8978637947722719,0.0
dur_3s_backheavy,duration,97,0.451940206185567,0.0,0.8972454600404087,0.0
dur_3s_backheavy,duration,98,0.4522938775510204,0.0,0.8966764754631037,0.0
dur_3s_backheavy,duration,99,0.4527878787878788,0.0,0.8961350143549371,0.0
dur_3s_backheavy,duration,100,0.453284,0.0,0.8955991191437094,0.0
dur_3s_backheavy,duration,101,0.45376039603960394,0.0,0.8950592807876293,0.0
dur_3s_backheavy,duration,102,0.4541117647058823,0.0,0.8946073747257554,0.0
dur_3s_backheavy,duration,103,0.45446990291262135,0.0,0.8940693864782933,0.0
dur_3s_backheavy,duration,104,0.45479423076923076,0.0,0.8934704499240282,0.0
dur_3s_backheavy,duration,105,0.4553714285714286,0.0,0.8929431364007014,0.0
dur_3s_backheavy,duration,106,0.45568679245283017,0.0,0.892380402954126,0.0
dur_3s_backheavy,duration,107,0.45590280373831776,0.0,0.8918122545453349,0.0
dur_3s_backheavy,duration,108,0.4562111111111111,0.0,0.8912778114972535,0.0
dur_3s_backheavy,duration,109,0.4564330275229358,0.0,0.8907907873000264,0.0
dur_3s_backheavy,duration,110,0.45666545454545454,0.0,0.8902880257861736,0.0
dur_3s_backheavy,duration,111,0.4570144144144144,0.0,0.8897397309063387,0.0
dur_3s_backheavy,duration,112,0.45744107142857143,0.0,0.8891396229072593,0.0
dur_3s_backheavy,duration,113,0.4576849557522124,0.0,0.8886031103745167,0.0
dur_3s_backheavy,duration,114,0.45789298245614035,0.0,0.8880291394918266,0.0
dur_3s_backheavy,duration,115,0.4582052173913043,0.0,0.8875147834289434,0.0
dur_3s_backheavy,duration,116,0.45843275862068966,0.0,0.8870109745604989,0.0
dur_3s_backheavy,duration,117,0.4586495726495726,0.0,0.8864911735389781,0.0
dur_3s_backheavy,duration,118,0.4589271186440678,0.0,0.8859553196919427,0.0
dur_3s_backheavy,duration,119,0.45916638655462183,0.0,0.885443267133156,0.0
dur_3s_backheavy,duration,120,0.4593966666666667,0.0,0.8849164587889894,0.0
dur_3s_backheavy,duration,121,0.459700826446281,0.0,0.8843001523069914,0.0
dur_3s_backheavy,duration,122,0.4599672131147541,0.0,0.8837547085432351,0.0
dur_3s_backheavy,duration,123,0.46023739837398375,0.0,0.8831916523463637,0.0
dur_3s_backheavy,duration,124,0.46053548387096777,0.0,0.8826593106202621,0.0
dur_3s_backheavy,duration,125,0.4607968,0.0,0.8821711009957326,0.0
dur_3s_backheavy,duration,126,0.46105079365079366,0.0,0.8816404629653162,0.0
dur_3s_backheavy,duration,127,0.4612708661417323,0.0,0.8810622969476626,0.0
dur_3s_backheavy,duration,128,0.461403125,0.0,0.8804868896556842,0.0
dur_3s_backheavy,duration,129,0.46170077519379843,0.0,0.8799271752483143,0.0
dur_3s_backheavy,duration,130,0.4619476923076923,0.0,0.8793895570763105,0.0
dur_3s_backheavy,duration,131,0.462181679389313,0.0,0.8788431260944517,0.0
dur_3s_backheavy,duration,132,0.46237272727272727,0.0,0.8783349414184681,0.0
dur_3s_backheavy,duration,133,0.4624451127819549,0.0,0.8777925492302184,0.0
dur_3s_backheavy,duration,134,0.46264626865671643,0.0,0.877272819394185,0.0
dur_3s_backheavy,duration,135,0.46282666666666666,0.0,0.8767399241691937,0.0
dur_3s_backheavy,duration,136,0.4630514705882353,0.0,0.8762457827881645,0.0
dur_3s_backheavy,duration,137,0.46324525547445256,0.0,0.8757703821362077,0.0
dur_3s_backheavy,duration,138,0.46347246376811596,0.0,0.8753242942837742,0.0
dur_3s_backheavy,duration,139,0.46384892086330937,0.0,0.8748094938595881,0.0
dur_3s_backheavy,duration,140,0.4641214285714286,0.0,0.8743743314640787,0.0
dur_3s_backheavy,duration,141,0.46431631205673757,0.0,0.873903190302241,0.0
dur_3s_backheavy,duration,142,0.46457464788732394,0.0,0.8734121363145076,0.0
dur_3s_backheavy,duration,143,0.4647356643356643,0.0,0.872937881508079,0.0
dur_3s_backheavy,duration,144,0.4649861111111111,0.0,0.8723953896639589,0.0
dur_3s_backheavy,duration,145,0.46519172413793103,0.0,0.8718902550881281,0.0
dur_3s_backheavy,duration,146,0.4653054794520548,0.0,0.8713248216747588,0.0
dur_3s_backheavy,duration,147,0.4655047619047619,0.0,0.8708415994921418,0.0
dur_3s_backheavy,duration,148,0.46566891891891893,0.0,0.8703685763170912,0.0
dur_3s_backheavy,duration,149,0.46591812080536915,0.0,0.8698628198557143,0.0
dur_3s_backheavy,duration,150,0.46603066666666665,0.0,0.8693811769888469,0.0
dur_3s_backheavy,duration,151,0.4662198675496689,0.0,0.8689382169118964,0.0
dur_3s_backheavy,duration,152,0.4663973684210526,0.0,0.8684589548695842,0.0
dur_3s_backheavy,duration,153,0.4666183006535948,0.0,0.8679310028865136,0.0
