target,best_gamma,best_rho,best_value
NO@10,0.75,15,0.46603643690706076
NO@30,0.375,15,0.5061897965466096
NO@100,0.0,30,0.6141575014692301
AUC NO@k near-local (k=1..10),1.5,15,0.4877966288997898
AUC NO@k mid-local (k=11..90),0.375,15,0.5340422056669578
