target,best_gamma,best_rho,best_value
NO@10,0.642857,10,0.51929
NO@30,0.0,10,0.47958333333333336
NO@100,0.0,30,0.4672066
AUC NO@k near-local (k=1..10),1.285714,20,0.5672265595238095
AUC NO@k mid-local (k=11..90),0.0,10,0.4606987257497047
