target,best_gamma,best_rho,best_value
NO@10,0.75,15,0.518208
NO@30,0.375,15,0.4706673333333334
NO@100,0.0,30,0.4672066
AUC NO@k near-local (k=1..10),1.125,15,0.5676566293650793
AUC NO@k mid-local (k=11..90),0.375,15,0.4579081588612933
