rank,p_standard,p_smooth_gamma0.5
1,0.21448532851083965,0.06319937528650865
2,0.14028721747433742,0.05111201950309641
3,0.053332546497105705,0.03151448036389921
4,0.03556351875137746,0.025734536611654545
5,0.03430619911908299,0.025275531231478493
6,0.03250800251595598,0.024604193423991772
7,0.028079841077980474,0.022867111687357743
8,0.026761849792961232,0.022324002094346554
9,0.026330190690036896,0.022143231087726156
10,0.023890333285905268,0.021092356078928013
11,0.023488195133659323,0.0209140823298251
12,0.02231434153598842,0.020384779972970783
13,0.017594646842444814,0.018101070808414887
14,0.015214963149547116,0.016832531761319065
15,0.013699005256896251,0.01597197075630106
16,0.013658744711789468,0.01594848316006224
17,0.012177023036073327,0.015058598497766347
18,0.012086099615765707,0.015002273371714678
19,0.010087322840410914,0.01370572300550815
20,0.009484482847227468,0.013289872606276731
21,0.009047778993403864,0.012980307533999685
22,0.009009140133011045,0.01295256144829665
23,0.008910225170740041,0.01288125951186526
24,0.008562177264094634,0.012627172040865301
25,0.008323275299444932,0.01244976402904486
26,0.008142288590006305,0.012313662209443589
27,0.007705164517295153,0.011978569257153527
28,0.007206284087501036,0.011584296897797951
29,0.006656306759219418,0.011133472850275116
30,0.006456620789763021,0.010965201839806557
31,0.006340111029897463,0.01086581788712143
32,0.005921257081942537,0.010500765227276438
33,0.005306233515665822,0.009940475732145801
34,0.005060098155743691,0.009707188450300063
35,0.00495398606887846,0.009604867556810776
36,0.004867372474238022,0.009520533402419786
37,0.004647075621185308,0.009302589564566966
38,0.004304446189640301,0.008953083433819524
39,0.004162539029691014,0.008804265883724127
40,0.0041572338561784656,0.008798653557958775
41,0.004011290445160736,0.008642831472208467
42,0.0038901618119872956,0.00851133772319397
43,0.0037717778619735538,0.00838083023956866
44,0.0036692678335665464,0.008266157902399835
45,0.0036539335797773783,0.008248867249697943
46,0.0036450064722226704,0.008238784477796027
47,0.003551475448875547,0.008132393762300811
48,0.0035403454421212934,0.008119640664957475
49,0.0028711813790534457,0.00731213674452335
50,0.0027947599794361892,0.007214167937722998
51,0.0027826078626669404,0.007198466604161271
52,0.002548956511800931,0.006889618957801092
53,0.002426682244890179,0.006722339569826372
54,0.002311216979340177,0.006560460876176926
55,0.002285710262655571,0.0065241596406218185
56,0.0022683934680722954,0.0064993987749969485
57,0.0021646445881033987,0.006349028698746566
58,0.002162756432230657,0.006346259059052408
59,0.002074578459094002,0.0062155408099168336
60,0.0020599092023185425,0.006193526912603324
61,0.002031622928251321,0.006150855762446177
62,0.0020080035505783272,0.006114996719553052
63,0.0020067084339304587,0.00611302438452933
64,0.001934431368034449,0.006001926229646218
65,0.0019127966675036437,0.005968269056827715
66,0.001817338098334657,0.005817439236716426
67,0.0017680914479147674,0.0057380767376815816
68,0.0016681264647485353,0.005573506044123197
69,0.0016566179546735446,0.0055542467834127475
70,0.0016454865617445335,0.0055355548719643165
71,0.001626112195564018,0.005502869879987344
72,0.0016146996402521313,0.0054835254626622735
73,0.0016067407531500397,0.00546999456473261
74,0.0015875699325615146,0.005437264032050834
75,0.0015213818154750434,0.005322713624846885
76,0.001511222596720761,0.005304912312018674
77,0.001510574103998952,0.005303773973373721
78,0.0015026832696808318,0.005289903088238638
79,0.0014898249614950303,0.005267221881954924
80,0.0013904357583879997,0.005088496197040758
81,0.0013383912960576948,0.00499235594380285
82,0.0013223757298804128,0.0049623960802847615
83,0.0013193909175156888,0.004956792457785687
84,0.0013193892828545816,0.0049567893871724795
85,0.0012726421485670491,0.00486818575760448
86,0.0012659509368533083,0.004855371082655845
87,0.001223396622451774,0.004773068078506557
88,0.0012160363671886096,0.0047586884417097535
89,0.0011775321425898171,0.004682743563049556
90,0.0011603024747662333,0.004648358331508945
