target,best_gamma,best_rho,best_value
NO@10,1.125,30,0.20941622441243365
NO@30,0.75,15,0.20650240080869345
NO@100,0.375,30,0.33078847611827145
AUC NO@k near-local (k=1..10),1.5,15,0.28746337713756215
AUC NO@k mid-local (k=11..90),0.375,15,0.23836347599951885
