rho,gamma,seed,no_at_10,no_at_30,no_at_100,auc_near,auc_mid
150,1.5,1,0.18881728582259288,0.20125094768764215,0.303737680060652,0.19748998158778294,0.23283582510542447
150,1.5,0,0.19063684609552692,0.20185746777862015,0.3016224412433662,0.20464139800474146,0.23241020107010804
150,1.5,3,0.19006823351023502,0.2026535253980288,0.3027975739196361,0.20207200620961047,0.23328336935345906
150,1.5,2,0.1895754359363154,0.2004169825625474,0.30278620166793024,0.2004760250069196,0.23180767004991631
150,1.5,4,0.19128127369219106,0.20111195350012637,0.3018309325246399,0.20325541234942296,0.23221779552560795
150,1.875,0,0.20424564063684608,0.1901819560272934,0.2768498862774829,0.26900157346233916,0.21633858095526132
150,1.875,2,0.2045489006823351,0.19035885772049532,0.2776307808946171,0.2698729647279685,0.2168085565524626
150,1.875,1,0.20432145564821835,0.19052312357846854,0.2784761182714177,0.2686512449306233,0.2179610229732826
150,1.875,4,0.2026156178923427,0.1900303260045489,0.27796815769522365,0.26639801978410776,0.21669949070812872
150,1.875,3,0.2048521607278241,0.19051048774323984,0.27675890826383626,0.26904868707654905,0.2166493873408794
150,2.25,2,0.2020470053070508,0.1819939347990902,0.2640523123578469,0.2795457116382059,0.20691362387945356
150,2.25,0,0.20197119029567853,0.18177912560020218,0.264746019711903,0.2796364489692769,0.20719819442679538
150,2.25,1,0.20140257771038667,0.18295425827647208,0.2641281273692191,0.2789933150414576,0.2076118818964206
150,2.25,3,0.20181956027293405,0.18189284811726056,0.2631918119787718,0.2803507647688846,0.20692010229463484
150,2.25,4,0.2020470053070508,0.1810967904978519,0.2635329795299469,0.2784419864736392,0.20635864243926555
150,2.625,0,0.19802880970432146,0.17399545109931766,0.25305913570887034,0.2840254160800029,0.198162336827733
150,2.625,2,0.1986732373009856,0.17254233004801617,0.25157695223654286,0.2835600111917398,0.19657563879078546
150,2.625,1,0.1976497346474602,0.1728708617639626,0.2529719484457923,0.2831299114288121,0.1981136960912971
150,2.625,4,0.19696739954510994,0.17471569370735407,0.25396133434420015,0.28341358592969657,0.19891726500596135
150,2.625,3,0.1970811220621683,0.1752337629517311,0.253366186504928,0.28499837539261347,0.19819741097900245
150,3.0,0,0.1947308567096285,0.16824614607025523,0.24694465504169827,0.28393824385958577,0.1922562265980331
150,3.0,1,0.19431387414708112,0.17033105888299216,0.24697498104624716,0.28483246988459265,0.1934035383180378
150,3.0,2,0.1935557240333586,0.16707101339398533,0.24374526156178924,0.28304412313320576,0.1904440601049757
150,3.0,3,0.19420015163002274,0.16838514025777104,0.2480098559514784,0.2835942633308061,0.1927466176321163
150,3.0,4,0.1941243366186505,0.16857467778620167,0.24572782410917363,0.2813075532209346,0.19243398299735676
200,0.0,0,0.0467778620166793,0.10737932777356583,0.2664177407126611,0.027966909154361768,0.1561325941613902
200,0.0,1,0.04450341167551175,0.10611574425069498,0.265606520090978,0.026037913522750523,0.15529948928175305
200,0.0,2,0.04598180439727066,0.10809957038160223,0.2669522365428355,0.027636813001672745,0.15684161677444353
200,0.0,3,0.047573919636087945,0.10789739701794289,0.2666603487490523,0.028481067306882317,0.15635950013049635
200,0.0,4,0.04476876421531463,0.10515542077331312,0.262172100075815,0.02657794505216795,0.15331173504065115
200,0.375,1,0.05924943138741471,0.129011877685115,0.2997915087187263,0.03431593499163628,0.18226796585709595
200,0.375,0,0.05924943138741471,0.12927723022491786,0.30058756633813494,0.03476593619504916,0.18271000871730697
200,0.375,2,0.05959059893858984,0.1287465251453121,0.29909401061410157,0.03517539742710326,0.18212794817991199
200,0.375,3,0.06084154662623199,0.12970684862269397,0.30015921152388175,0.03631012551596327,0.18299612605195337
200,0.375,4,0.06103108415466262,0.129618397776093,0.29983320697498106,0.03628387607254173,0.18271955290986422
200,0.75,0,0.07373009855951479,0.14963356077836745,0.31578847611827143,0.04544177286785323,0.20096075630270877
200,0.75,2,0.07069749810462471,0.1473591104371999,0.3158074298711145,0.04272479752578312,0.19992132729337506
200,0.75,1,0.07259287338893101,0.14724538792014152,0.31576573161485977,0.045266676293969695,0.19985817377700726
200,0.75,3,0.07172100075815012,0.14773818549406115,0.31643290371493554,0.04356732192497924,0.20042411600600857
