k,rho,peak_gamma,peak_no,peak_location,max_std_band
30,30,0.795918,0.38804628571428573,interior,0.0004660398706095249
30,100,1.346939,0.3827831428571429,interior,0.00031112605082366646
100,30,0.306122,0.4302796857142857,interior,0.0008145515185220264
100,100,0.795918,0.4189786571428572,interior,0.0005200879093666755
