standard,smooth_g0.7,sharp_g1.5
30.00000026189661,51.96515426105226,12.700537492468785
29.9999998638698,47.86745409381039,15.556152503231766
30.00000010935108,56.65798068835718,7.225175701735366
29.999999927068263,45.11384891935535,14.815263808171089
29.99999975175851,50.05469930904732,13.973053721139502
30.000000096406218,48.39556235982765,13.934195011334667
30.000000198133012,44.555431314822435,19.231889300214327
30.00000010586298,46.17453887146524,16.056777935872283
30.000000198927868,55.89396899616438,8.409568356505895
30.00000003374981,51.217577172858775,14.082565628437536
30.00000008274453,39.66214183095345,20.333785231867864
30.000000043480615,49.143635463204674,14.444486934150358
29.99999996023106,48.82841196390644,13.593730538810728
29.99999974505467,46.64221095593425,13.622476783986881
29.9999997412853,45.415588330647985,17.42207401324504
29.999999934465546,41.7481609437928,17.838834224163776
30.000000189553795,52.29922054415553,11.705017093969557
29.999999847651743,52.6913222971201,10.535583606455933
30.000000273080513,54.29551343066806,8.502262914635367
29.99999996982346,48.32082165997689,14.829267078087772
29.999999972381843,42.18533376459476,18.48222260736206
30.000000020046716,55.8695030273514,8.6579561119105
30.0000001736332,41.96336671465553,18.737545254579434
30.000000044909775,49.24752181761815,14.160338032870444
30.000000148986192,45.44907899631477,16.272674609274333
30.000000253828325,41.41228004491897,17.65714738004376
29.999999967094052,49.81717784151855,12.929516683305689
30.00000027718637,53.67685055195348,9.835805430592552
30.000000120040323,45.56482736843706,17.68111535645555
29.999999711243195,48.060526569070014,16.125200807285836
29.99999988366066,51.823783314699334,11.786258305335997
29.999999728170355,52.672343405683456,11.259260394353214
30.00000014403478,50.99730478803525,12.544133141118337
29.99999991009609,49.09413536061377,14.939849869908643
30.000000238915536,53.20823890625097,11.38505257081962
30.000000034474503,48.04358608516833,15.498144221375098
30.000000125935326,54.9431549732195,9.62869664672741
29.99999995918473,52.68491515348641,10.613272164787782
29.99999992493888,50.63670359475707,13.231308638651505
29.999999904662946,49.81463393027734,14.792588496580692
30.000000148799174,53.52938107757481,10.914246550165105
30.000000028109277,52.572396414882895,12.439114035653906
29.999999902658065,52.308186101032696,11.355414633764346
29.999999991330675,48.131043452197844,15.488184317150534
30.000000168130356,51.23281127213325,12.807836953551586
29.999999879668444,49.22915033314296,13.69176072008904
30.000000268171632,48.51430474348475,15.500871725828578
29.99999994868236,48.59481423895475,15.402612730981732
30.00000006880326,51.149446211756455,13.380874101535769
29.999999948226595,50.43378427378436,13.011592909035588
29.999999838269897,56.88834893795435,7.500657845872706
30.00000000904106,55.587589790480386,10.015925178454458
30.00000017311743,55.715438680584306,9.399385757319454
30.000000106953415,50.43483206765679,12.917445971544225
30.00000029989469,49.941913364058394,14.353603146574022
29.999999913389694,47.57312294908756,16.610155830372225
30.000000038935006,50.89935091672281,11.231458056883673
30.00000002276144,52.417857914087804,10.945938787010071
30.00000004102828,51.484151729165006,12.42149039774416
29.999999817297546,49.0123015892318,14.896694517832273
29.999999978927793,50.300595608713294,13.107988046769792
29.99999983391596,54.978434763317836,7.601163144902597
29.99999981875515,53.343829293897485,10.55773478718614
29.99999985494944,45.98174405810222,16.733567149659738
29.999999837925724,49.56397906531058,14.54870215122083
29.999999834351517,51.53388924339342,12.010794939048322
30.00000022089844,51.626996755277354,12.287621484599816
30.00000015910607,50.901283252831234,12.868293588777682
29.999999870684178,50.10655867622298,13.630981376811652
29.999999912710695,50.251733907422604,13.584002313951695
30.000000134901175,49.544079570571135,14.47157229080648
30.000000230483263,47.41532580263141,15.338997155867904
30.000000095737562,52.62806454264959,11.861486530266035
30.00000022708673,45.57042143458117,16.77816493846676
30.00000003394898,50.43565698991982,13.975909875202934
29.999999784536172,52.03780401892117,11.777486895255523
30.00000023492022,52.992495911789966,10.07862435321666
29.999999757219207,49.425100464548684,13.275401491615785
30.000000094806015,48.90273122326095,15.32473012285959
30.000000052965575,54.524975551583736,9.840156611814539
30.00000013995267,51.100196971917725,12.262519920047813
29.999999799008656,49.94058268485414,13.089727809099756
29.999999810827656,52.256133253344736,11.533510807265898
29.999999746805674,49.39440999557391,13.155504571359092
30.000000221902607,52.35652823453688,11.27976838124724
30.00000013907934,55.21115672983111,9.301931182963065
30.000000156027706,52.33907918986056,12.549935574817784
30.000000218581444,50.83572626834284,13.054791609674034
29.999999887164904,55.266201032828235,9.59134309957523
30.00000003646904,58.02132709086588,6.21505245423319
30.000000120497603,47.27520342133498,15.40153620176202
30.000000181169668,53.97155662811256,10.313424329015765
29.999999741916408,51.23593217066846,12.311106957856042
30.000000144400378,48.35614047106084,15.830326477934605
29.99999983698878,53.577127279053215,12.00965251576861
30.00000017877976,53.26618342294911,10.350408751077397
29.999999984189873,48.36743283199373,15.483538579594164
30.000000171058325,51.1111082652224,11.999558661992017
29.99999987933415,56.74008192990866,8.428587748324832
29.999999984924095,52.21247850255387,11.588815184040552
29.999999771369996,55.0581824951554,9.251693789857478
29.999999823427327,54.99904036815981,9.293248392753075
30.000000297164046,50.12692744812618,12.804070651644713
29.99999985043488,53.01888137647238,10.420660615805431
30.00000002567155,48.081518746459324,15.350377460573881
29.999999706310344,50.16066841434092,13.378178739560061
30.000000150804574,50.20499659256505,13.692741131493309
29.999999774062964,47.009223259626715,16.8096123384429
30.00000017509077,48.570930991550135,16.379605566514808
29.9999998875655,48.82387669593484,13.764175219581862
29.99999999500517,46.93378997816373,16.272547302516152
29.99999996777019,45.8669016680029,16.881807932119845
29.999999803519913,45.657866590741754,18.071339333256756
29.999999765883807,50.218939986016274,14.119586965041684
29.99999993976876,44.73753061098599,18.34926377128479
29.99999996066568,48.444608766055,15.130668429744576
29.99999985571148,52.931838315788184,10.186162863611695
29.99999989644087,49.1008209781562,15.023735157089455
30.000000196180746,48.59690800097227,15.398672211077029
30.000000263027882,49.824985938146085,12.897138898341305
30.000000298275687,55.748951794113054,7.714066101116021
30.000000191632054,51.099248904752805,11.96868692020468
29.999999941404997,48.423349752974794,15.492557172793575
29.999999869039335,54.65536300012107,10.224091741791304
29.999999701962928,48.30889315653261,15.334581742797612
30.00000003986347,50.364526020544155,13.492802952472678
30.000000191189073,52.730655431651705,10.031355261052248
29.999999928644808,46.629102513225185,17.24307613579732
30.00000012454508,56.878379618393765,7.025705219288791
29.999999961833836,49.64409867060534,14.105631837996865
30.000000081606444,48.05949875752875,15.022321338682646
30.00000012163196,51.40856000301022,11.383951163983156
29.999999735039328,50.882033414918226,12.772347361526098
30.000000236345297,54.05169121857504,10.343685342733442
29.999999779090746,51.95942633326719,11.653445915168065
29.99999998170679,47.00021298799956,16.662259395460737
30.00000022111833,50.07200411761042,13.754947165705287
30.000000011786774,51.266707669541354,12.679768240147038
29.999999812660665,53.819904734319095,9.601353088460783
30.00000020010596,53.580586883868534,10.831211830465437
29.999999976051978,50.63288378018761,13.181796377131494
30.000000103285238,47.81484140075625,16.427862797317704
29.99999990754024,53.03552158233634,10.483011577382467
30.000000141229094,50.18634738362599,14.162286265120192
30.00000013972953,51.35999362973343,12.390392663262311
30.00000014611295,50.38049229531615,14.17473067491227
29.99999998519033,47.504260657626034,16.34930219772313
29.999999780623373,53.742439222811576,9.71949144718932
29.999999845302913,54.02335402024021,10.08931067443356
29.999999779176722,54.073449132624425,10.068997931838894
29.999999730705024,49.20517425739571,14.171786975386693
30.00000020432097,49.68698381607096,13.585642873570755
29.9999999176446,53.087927113377425,11.269408593475854
29.99999994417967,47.73654028455707,15.789410044867006
29.999999842064863,50.43222105120961,13.099368775016336
30.000000072034197,54.930929893296685,10.250609240139148
29.999999798122836,48.53372333810866,14.714448131489336
29.999999769993693,49.28892159605322,14.758841912902701
29.99999972362493,53.07394865002125,10.906545702994755
30.00000006518316,57.98691062542362,8.194109618467037
29.99999979029513,47.86845988990786,12.60353887670519
29.999999842535477,49.33285450046207,13.356416498340128
29.999999911998486,51.73164851720133,11.496291388166462
30.000000276403004,53.77898204028735,11.514889935640765
30.00000006875631,49.016372686120036,14.750399186733203
29.999999727176274,51.885027861142596,11.571684717896924
30.000000199357903,46.18333758160823,16.780148903864013
30.00000010529049,48.62077807399693,13.685679176917159
30.000000169091546,55.187847664877175,9.998150751429577
29.999999934274094,51.408583656195034,12.421904258875577
29.99999982885567,47.91517281727779,15.757918857291342
30.000000216274703,45.5850498514577,17.809927481512073
29.999999935284006,47.31737764085532,14.692630107774642
29.999999814716336,50.62765632728008,12.923458586982644
29.99999990772068,56.35653764610975,8.995995265576427
29.999999979744942,51.885433081398844,12.826500928454307
30.00000003420212,50.75309880972444,13.991871655161214
29.999999836078235,48.102481807703235,15.63019408465119
29.999999986262093,53.214303919792265,10.746257480728342
29.999999775192205,58.2251387268152,8.689564459557223
29.999999929704806,52.346543602032014,11.130991489660884
30.000000003496787,52.34107124079711,10.952711453902182
30.000000073176775,50.21568931575,14.079459275833301
30.000000177633694,50.53669916888757,13.038477771179492
29.999999866207997,48.09586050198914,14.630190931498431
29.999999756885103,48.466841220178594,14.891582587860768
30.000000047289173,49.88800124378231,13.777718186632452
29.999999894300533,51.63351120429121,12.611909480315525
30.000000015934337,54.21485726512664,9.00108903185064
29.9999998696162,49.86403176760837,12.405285085647128
29.999999799225705,49.826553871947226,13.878496310251322
29.99999986403462,50.19573749767449,14.392057603909093
29.99999977801468,49.88637051936729,13.652950588816378
29.99999981607245,48.87618101309362,15.230050304513448
29.999999997256097,50.318246414193894,12.489670149708816
30.00000008117497,49.203038702093615,13.289931441868042
30.000000291511117,50.50140848937073,12.741369705220384
29.999999973707155,47.83460260840656,14.971176109497593
30.000000225311254,50.587958297922825,13.078224439992857
30.00000022704881,51.48374974470583,11.942731558640395
30.00000001934823,50.50716965091337,12.967299161237232
29.999999819109185,53.75920626603185,9.56453761065858
29.99999978426512,53.59628692600428,10.721927085915778
30.000000065245917,47.89209201426631,16.256081603796215
29.99999987948089,51.550740245052666,11.958148584432935
29.999999736019983,44.36999908708588,19.03211979417327
30.00000019701197,46.193418588644136,17.80580781534729
29.999999752947627,52.57584383427806,10.851441623078703
29.999999839285312,49.98131376353369,14.615900116074537
29.999999714178276,51.203146347357276,12.100522492020596
30.00000029342805,53.28168637546118,12.101192984128891
29.999999948690466,48.764858633763765,15.943429206403934
30.000000023197163,53.79571458118516,10.703159236348055
29.999999703191826,47.02612463988132,15.889496679206616
30.0000002910816,49.721799403942754,13.253476410643705
30.00000024866298,49.627428395787405,13.47783322027757
29.99999994896828,47.52011103831499,16.30180014475476
29.999999991181316,47.47490264829604,14.902615917981501
30.000000268760875,51.3533684202496,12.074456872171016
29.99999982961789,50.51839032082388,14.057302615382353
29.999999814443306,50.80238691038445,11.654103873666216
29.999999923318803,51.286844131784925,12.851675545150295
29.999999756354594,51.99129690943836,10.838895271025132
29.99999976144737,51.33291676846312,13.087094653800783
30.000000221531376,51.10972294283971,13.388266760717872
29.99999996432623,49.741810594111044,14.360959096278892
29.999999994619404,49.33305210793125,14.049266591807367
30.000000141358175,51.64434050618461,12.040175488510553
29.999999887393514,53.68108064336761,9.554747957132376
29.99999999087713,54.315672523349804,9.234437240065953
30.00000008988611,51.04806683009762,11.406070166663026
29.999999955990972,49.4627482758347,14.423378117734728
29.999999885642104,47.01147460003937,16.515506803501058
29.99999972169895,52.498437006890114,11.945289453938669
29.999999769376288,51.77396935622793,10.694109312518469
30.0000000129676,52.898466994284234,11.051457789242244
29.999999884218113,50.22835470901636,11.50681165726046
30.000000018073415,56.31626137610172,8.855710371989222
30.000000274763273,44.56607993492312,18.350579064047434
30.000000236670907,52.09753377798004,12.13840119141564
30.000000053149584,49.55167837296688,13.940845876083108
29.99999993869027,49.36836410127512,15.006519968365927
30.000000094681717,49.47385456191778,12.807848476769067
29.999999757833436,55.79081807386325,7.911801961536332
30.00000002120981,52.2269265118558,12.154933643487233
30.000000296151217,52.017319774850286,9.261106713654335
29.999999952134075,48.68376875075222,16.08955594873495
30.00000018539443,55.20603442115944,9.529786406119106
30.0000001762785,50.18185844517983,12.83264012446339
29.99999995664162,50.18923642263437,12.027858790371814
30.000000285523623,50.410082490282996,13.295286201005885
29.999999983246745,51.310069013779945,12.28433690628136
29.99999985256426,50.28933958861382,13.47928885291378
29.999999946357537,54.368030741163956,7.855690689916814
30.000000217153595,47.20034742579914,16.17685002632217
29.999999827341128,56.44129644732831,7.526841160049893
30.00000003519142,51.7234783695377,12.708104224596871
29.99999990181107,49.41731461049187,14.64608328072515
29.999999906949355,53.59283509032944,9.182329319441811
30.00000028582081,48.631200204591266,14.834157382208973
29.999999745296392,46.0518969767943,17.730772869289705
30.00000001627849,49.26818537736072,14.461554622188563
29.999999793525294,50.244998503091466,12.074328344298731
29.999999789628543,49.81084031037483,12.595583613101985
29.999999941334778,55.70104935084876,7.827344830246403
30.000000216194344,51.67417935906678,11.917402458378671
30.00000004566088,50.29724543513039,13.074997345604277
30.000000221068834,52.32548204491676,11.316700054188253
30.000000057526144,50.82813410964581,12.77355063885492
30.00000006520972,48.730069534951525,15.113116793714495
30.00000005785065,55.64087515971386,9.343790906359597
30.00000022387997,50.37653865306813,13.1235844903611
29.999999952871033,51.90997650280319,11.846122595857764
29.999999817017795,50.87176736124839,13.008491029204297
30.00000005559499,51.17678563851613,13.370973686004684
29.999999847538973,51.87241456318179,11.887437229643357
29.999999896465027,50.35721771266029,13.650488394429326
30.000000240153692,48.74512857050231,16.330517499947085
30.000000038744663,49.376107907700806,12.766371235490665
29.999999745411014,46.68252957273018,16.050687575813896
29.999999839208368,50.895701496497615,12.455237088972243
29.999999954662652,50.1194607415705,12.117148043451206
29.999999877791403,55.79276201205684,8.273760632436542
30.000000196533694,50.104591329704796,14.13961830630897
29.999999859715146,48.92776625618588,14.821002328936148
29.999999747449415,49.58701787420663,14.041245255117763
29.99999979379725,48.6295869829482,14.627058289415768
30.000000036672812,56.89440622118727,8.145401352338842
30.00000018807698,50.24815687990547,12.653318617467846
30.00000005983213,51.83935875068915,10.14946875112273
30.00000012660692,51.03754724356098,11.298619370043607
30.000000210802515,50.64362062744457,13.531959292110626
29.99999987650682,50.14064186165961,12.270874998111642
29.99999991033257,51.03286189169217,13.053045691663304
29.999999877131724,52.503835480379884,11.290965868240812
30.00000029966761,50.89865152127027,13.401200109703495
29.999999763828026,51.70516506330734,12.65502578674644
29.999999917874447,49.36591262718334,14.47137119799662
29.99999971560182,52.21067323274527,12.301003512676271
30.000000210044007,52.038644065417934,10.385991382082967
29.999999833548905,47.11262376151879,16.533264908058918
29.999999900775414,49.267904737700356,13.856809727529189
30.000000161014746,50.41760280127267,14.374548219689979
29.999999968606787,48.75512005903706,14.785379736301122
29.99999998171414,54.29460016603151,10.097362295508436
30.00000014627686,49.985724426923014,14.366851097888457
30.000000092041553,51.84110490198196,11.402336832891942
29.999999956597886,44.70375795953639,18.30693792578302
30.000000298990052,46.01607887374954,17.48801048625498
30.000000234959536,49.06554305037764,14.850404054104109
30.00000015285722,51.68839286560778,11.274492318067162
29.999999969117347,53.60843483470589,10.306170865546463
30.000000188160243,51.208189035255536,12.113824116024881
30.000000069730504,49.685818969671764,13.355601569339665
30.000000233087007,46.91159009184612,17.325155000053357
29.999999909627213,48.88949429174319,14.514358881166222
30.000000104604418,56.4347531549478,8.324505471838036
30.0000001788734,51.820786059901884,11.269177948658843
29.999999800306316,51.94904096886231,11.279097687955087
30.000000125631693,52.495277081601884,11.7176014104339
29.999999988975027,55.83484312636783,8.63463825397901
29.999999760712445,55.895553447630355,8.380951941813631
29.999999711089476,49.71331535999135,15.065774966138134
29.999999797633425,46.53410357414049,16.74212701664714
29.99999973396758,48.09383785904418,15.304417619922841
29.99999993607938,50.214709391533944,12.817871937826574
30.000000108718364,51.5797857139454,11.668365763232215
30.000000114761008,51.25987278230554,11.866788685219234
29.999999952399552,52.07561062924041,11.953362438694798
30.000000240124326,57.20297660376946,7.294422900493066
29.99999996266295,48.76348489316936,14.531288793391147
29.999999820820687,54.69070037601735,8.879904314085508
29.999999763874474,49.22482675137951,15.089839720871392
29.999999707921074,49.937042833979106,13.154031361830219
30.000000111620643,50.578584752587446,12.756661468548412
30.000000114007044,52.58288699469027,10.987204150775064
30.00000022941495,53.41924302990783,10.437627513762736
30.000000000648047,48.73768692176008,14.918559739950215
29.999999719413836,50.610775133813455,12.628366445200035
30.00000000307303,47.775072767136606,16.253883299000005
29.99999971398322,48.799331652163765,15.375359059326884
29.99999986937998,49.87134618318767,13.294171715801967
30.00000020097024,49.78173814614831,12.591468942044093
29.999999747722207,47.902379080024794,13.170816436183602
30.00000003654493,48.259425735250666,14.924832181221051
29.99999974222527,49.07056106913495,14.361999475492793
29.99999992097736,55.44678297302602,8.456134413942195
30.000000189832456,47.50535790550919,15.081422494772138
30.000000258486576,51.05058858673188,12.650568820533596
29.999999768165303,48.84538253203131,12.440695058068135
29.99999998043659,52.13420665447543,12.377248932251804
30.000000107219204,48.57579248518423,13.89786714465048
29.999999870419533,51.27797590666551,13.870009767537967
29.999999963925557,51.24822305852873,12.8530277268366
30.000000284650326,51.37059485467508,13.373297983425164
29.999999794181726,52.61850030343665,10.981521205052855
30.00000004746611,48.347754371280736,15.043506347121445
30.00000006631855,50.301686467608526,13.73374207693628
30.000000230731285,49.189721631011984,14.28638236614394
30.000000112142786,49.16662861130137,14.414243026756171
30.00000004431193,51.39625444086542,11.866732785414301
29.99999996100398,46.63418019342863,17.54879162403256
