seed,perplexity,gamma,global_spearman
191664964,30,0.0,0.36952491355340494
191664964,30,0.5,0.3593986785255976
191664964,30,0.7,0.36146584170287194
191664964,30,1.0,0.350709140886069
191664964,30,1.2,0.35831244285760633
191664964,30,1.5,0.34943084502471844
191664964,30,2.0,0.34391634249335745
1662057958,30,0.0,0.36785564163102924
1662057958,30,0.5,0.36503027013592243
1662057958,30,0.7,0.3627270145510062
1662057958,30,1.0,0.35279014312739243
1662057958,30,1.2,0.3585566357643059
1662057958,30,1.5,0.3503759857595767
1662057958,30,2.0,0.3466942200107356
1405681632,30,0.0,0.3678718055433897
1405681632,30,0.5,0.3651828866827992
1405681632,30,0.7,0.3614396675644475
1405681632,30,1.0,0.35370198016408194
1405681632,30,1.2,0.3586184064063681
1405681632,30,1.5,0.35079411725387594
1405681632,30,2.0,0.3463882294888383
942484272,30,0.0,0.3675897308332282
942484272,30,0.5,0.3587963058670547
942484272,30,0.7,0.3631882273757051
942484272,30,1.0,0.35388743529937244
942484272,30,1.2,0.3590321421630182
942484272,30,1.5,0.3502542444687575
942484272,30,2.0,0.34620761311527826
929893138,30,0.0,0.3689918885201192
929893138,30,0.5,0.36296009618132363
929893138,30,0.7,0.3608460607681659
929893138,30,1.0,0.3532324277030208
929893138,30,1.2,0.3578153781169012
929893138,30,1.5,0.35121221644803857
929893138,30,2.0,0.34595785910267896
1843824993,30,0.0,0.3676473535698393
1843824993,30,0.5,0.3618125261220811
1843824993,30,0.7,0.3624337727708174
1843824993,30,1.0,0.3528067288523326
1843824993,30,1.2,0.35921749284869803
1843824993,30,1.5,0.35064944456900365
1843824993,30,2.0,0.34585508160122286
184566854,30,0.0,0.3689316441547329
184566854,30,0.5,0.3593752329967597
184566854,30,0.7,0.360101070916277
184566854,30,1.0,0.35124555360288384
184566854,30,1.2,0.3603315810020648
184566854,30,1.5,0.35055256773053134
184566854,30,2.0,0.3455828255986125
1497586439,30,0.0,0.3684911025208587
1497586439,30,0.5,0.35942684684660214
1497586439,30,0.7,0.36159277739529394
1497586439,30,1.0,0.35293052162991395
1497586439,30,1.2,0.3581999651664193
1497586439,30,1.5,0.3506419741478357
1497586439,30,2.0,0.34527731052289373
432652533,30,0.0,0.3704859581916034
432652533,30,0.5,0.36412044521012393
432652533,30,0.7,0.360443887665366
432652533,30,1.0,0.3529696254121442
432652533,30,1.2,0.35843690891559704
432652533,30,1.5,0.35094854392899066
432652533,30,2.0,0.3475866669395462
202244314,30,0.0,0.369547946040851
202244314,30,0.5,0.36463754538040355
202244314,30,0.7,0.3596539345868256
202244314,30,1.0,0.3536123021372499
202244314,30,1.2,0.35786820954888376
202244314,30,1.5,0.3489435741377986
202244314,30,2.0,0.3469749552860206
191664964,50,0.0,0.367401947417646
191664964,50,0.5,0.36981691547952916
191664964,50,0.7,0.3552027610737265
191664964,50,1.0,0.35604948615667126
191664964,50,1.2,0.34897153158700306
191664964,50,1.5,0.3560641474755403
191664964,50,2.0,0.34150392257097195
1662057958,50,0.0,0.37481865174325735
1662057958,50,0.5,0.3681543675103209
1662057958,50,0.7,0.3573968567080565
1662057958,50,1.0,0.357970831008098
1662057958,50,1.2,0.34963139617245914
1662057958,50,1.5,0.3569820435724472
1662057958,50,2.0,0.3418357978742801
1405681632,50,0.0,0.3740646041503875
1405681632,50,0.5,0.37071883078072043
1405681632,50,0.7,0.35933108361008953
1405681632,50,1.0,0.35954558440348194
1405681632,50,1.2,0.34996710237146966
1405681632,50,1.5,0.35634508471608134
1405681632,50,2.0,0.34122879321041133
942484272,50,0.0,0.3742074956275178
942484272,50,0.5,0.36867581297728985
942484272,50,0.7,0.3612151219776958
942484272,50,1.0,0.3570439489272605
942484272,50,1.2,0.3513313494137761
942484272,50,1.5,0.3554215481346121
942484272,50,2.0,0.34069842775902515
929893138,50,0.0,0.3723499975862823
929893138,50,0.5,0.37044529344345567
929893138,50,0.7,0.3583278055409586
929893138,50,1.0,0.3581598416517103
929893138,50,1.2,0.35026058129661225
929893138,50,1.5,0.3566702874290269
929893138,50,2.0,0.3418929061991174
1843824993,50,0.0,0.377386596837439
1843824993,50,0.5,0.36652388059281216
1843824993,50,0.7,0.35745059661433204
1843824993,50,1.0,0.35764545502345146
1843824993,50,1.2,0.3502527534024238
1843824993,50,1.5,0.3555655653099069
1843824993,50,2.0,0.34221905457979596
184566854,50,0.0,0.3752364720269293
184566854,50,0.5,0.3654951588592208
184566854,50,0.7,0.36160191477684056
184566854,50,1.0,0.3518339712229086
184566854,50,1.2,0.35043496340812935
184566854,50,1.5,0.35552930046827663
184566854,50,2.0,0.34166105031595595
1497586439,50,0.0,0.3726575797172904
1497586439,50,0.5,0.3702673431009546
1497586439,50,0.7,0.36051904517012795
1497586439,50,1.0,0.35913091652931683
1497586439,50,1.2,0.3506462430240968
1497586439,50,1.5,0.3557527448454002
1497586439,50,2.0,0.34146691480877733
432652533,50,0.0,0.37395888823010054
432652533,50,0.5,0.3707363000073396
432652533,50,0.7,0.3579597270654165
432652533,50,1.0,0.359602684890075
432652533,50,1.2,0.35018065033444734
432652533,50,1.5,0.3553781390738304
432652533,50,2.0,0.3411946897270703
202244314,50,0.0,0.3717317313376085
202244314,50,0.5,0.370637164638068
202244314,50,0.7,0.3586617322929975
202244314,50,1.0,0.35706140018119414
202244314,50,1.2,0.34843529900214026
202244314,50,1.5,0.3559730576090999
202244314,50,2.0,0.34166853640517053
191664964,100,0.0,0.4008936624250159
191664964,100,0.5,0.39781947643913845
191664964,100,0.7,0.38083125449465544
191664964,100,1.0,0.36086592258904426
191664964,100,1.2,0.3582885155332831
191664964,100,1.5,0.3511576520056407
191664964,100,2.0,0.3467322860589687
1662057958,100,0.0,0.3971729367959414
1662057958,100,0.5,0.40363156496953784
1662057958,100,0.7,0.3805222220960243
1662057958,100,1.0,0.36066944780695764
1662057958,100,1.2,0.3555139439611072
1662057958,100,1.5,0.34983760722649215
1662057958,100,2.0,0.3469585203619413
1405681632,100,0.0,0.4059095038853235
1405681632,100,0.5,0.3955931130637066
1405681632,100,0.7,0.38248755905748655
1405681632,100,1.0,0.35952626896382744
1405681632,100,1.2,0.3599519762363219
1405681632,100,1.5,0.3505040117045244
1405681632,100,2.0,0.34705569946480613
942484272,100,0.0,0.4049070084388512
942484272,100,0.5,0.3972840835152232
942484272,100,0.7,0.3784195805449952
942484272,100,1.0,0.35917092130346506
942484272,100,1.2,0.3597531862034602
942484272,100,1.5,0.3508177840291296
942484272,100,2.0,0.34586533471293335
929893138,100,0.0,0.4147472363000219
929893138,100,0.5,0.39946317722626723
929893138,100,0.7,0.3807698044906594
929893138,100,1.0,0.35927876367594336
929893138,100,1.2,0.3586370041095946
929893138,100,1.5,0.3500585193779243
929893138,100,2.0,0.34567847939553936
1843824993,100,0.0,0.4134944679852468
1843824993,100,0.5,0.3967776940722908
1843824993,100,0.7,0.3803956699172228
1843824993,100,1.0,0.358863047348367
1843824993,100,1.2,0.35626598378404645
1843824993,100,1.5,0.35005332968159786
1843824993,100,2.0,0.3460556218963068
184566854,100,0.0,0.3966247857479333
184566854,100,0.5,0.39658597459150524
184566854,100,0.7,0.38128864552391656
184566854,100,1.0,0.3579256897499632
184566854,100,1.2,0.3557633958424598
184566854,100,1.5,0.34943079485669454
184566854,100,2.0,0.34677386682800904
1497586439,100,0.0,0.4104525095024047
1497586439,100,0.5,0.400149370442632
1497586439,100,0.7,0.38285778791587455
1497586439,100,1.0,0.3587249441946558
1497586439,100,1.2,0.3553176137565637
1497586439,100,1.5,0.34994168102560713
1497586439,100,2.0,0.34674879391064084
432652533,100,0.0,0.40216223775756216
432652533,100,0.5,0.3955572394590579
432652533,100,0.7,0.380576533281021
432652533,100,1.0,0.35666817388868277
432652533,100,1.2,0.3603594749663612
432652533,100,1.5,0.3489014840619123
432652533,100,2.0,0.34706655618134924
202244314,100,0.0,0.40355443072737507
202244314,100,0.5,0.3953816530270051
202244314,100,0.7,0.3802453128149299
202244314,100,1.0,0.35809056067744427
202244314,100,1.2,0.35931383421510504
202244314,100,1.5,0.35085588290132325
202244314,100,2.0,0.3466927306054845
191664964,200,0.0,0.42353930039545584
191664964,200,0.5,0.4207964504889616
191664964,200,0.7,0.4194951042204821
191664964,200,1.0,0.3918665850919515
191664964,200,1.2,0.3661862265185744
191664964,200,1.5,0.34583892845399566
191664964,200,2.0,0.3521271372098728
1662057958,200,0.0,0.4169712678791192
1662057958,200,0.5,0.41002990775991693
1662057958,200,0.7,0.42393996129609274
